Title,Video ID,Published At,Keyword,Likes,Comments,Views,avg_comment_likes,total_comment_likes,num_comments,avg_sentiment,pos_comments,neg_comments,neu_comments,year,month,dayofweek,is_weekend,video_age_days,title_len_chars,title_len_words,title_exclamations,title_questions,title_emojis,title_upper_words,title_uppercase_ratio,title_has_numbers,likes_per_1000_views,comments_per_1000_views,comments_to_likes_ratio,share_pos_comments,share_neg_comments,share_neu_comments,kw_animals,kw_apple,kw_asmr,kw_bed,kw_biology,kw_business,kw_chess,kw_cnn,kw_computer science,kw_crypto,kw_cubes,kw_data science,kw_education,kw_finance,kw_food,kw_game development,kw_gaming,kw_google,kw_history,kw_how-to,kw_interview,kw_literature,kw_lofi,kw_machine learning,kw_marvel,kw_mathchemistry,kw_minecraft,kw_movies,kw_mrbeast,kw_mukbang,kw_music,kw_news,kw_nintendo,kw_physics,kw_reaction,kw_sat,kw_sports,kw_tech,kw_trolling,kw_tutorial,kw_xbox,log_Views,log_Likes,log_Comments,log_total_comment_likes,log_avg_comment_likes,Viral
Data Scientist Overview,J68XETxye7g,2022-05-13,data science,7514,251,195145,8.3,83,10,1.6,6,0,4,2022,5,4,0,103,23,3,0,0,0,0,0.14285714285714285,0,38.504701632119705,1.2862230649004587,0.03340431195102475,0.6,0.0,0.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.181503275345145,8.924656302187074,5.529429087511423,4.430816798843313,2.2300144001592104,0
Is Data Science Dying in 2022?,rqvyWUODZGE,2022-07-09,data science,56267,1146,2214491,37.5,375,10,1.3,4,1,5,2022,7,5,1,46,30,6,0,1,0,0,0.2,1,25.40854760755406,0.5175004098007172,0.020367177919562086,0.4,0.1,0.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.610533589785241,10.937881268877586,7.044905117129371,5.929589143389895,3.6506582412937387,0
real talk about my Data Scientist jobs + salary for entry level data science,5O9abIxIqNA,2021-12-23,data science,2673,174,76828,37.0,370,10,2.0,10,0,0,2021,12,3,0,244,76,13,0,0,0,0,0.03225806451612903,0,34.79200291560369,2.264799291924819,0.06509539842873176,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.249337452027918,7.891330757661889,5.1647859739235145,5.916202062607435,3.6375861597263857,0
"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",LHBE6Q9XlzI,2020-06-02,data science,2604,78,113661,143.6,1436,10,1.6,6,0,4,2020,6,1,0,813,88,12,0,0,0,0,0.15714285714285714,0,22.910233061472272,0.6862512207353445,0.029953917050691243,0.6,0.0,0.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.64098441103626,7.865187954187467,4.3694478524670215,7.270312886079025,4.973971309724664,0
What Professional Data Scientists ACTUALLY Do,iPdO9MwdcLE,2022-02-14,data science,2020,133,54541,24.6,246,10,1.8,8,0,2,2022,2,0,0,191,45,6,0,0,0,1,0.325,0,37.03635796923416,2.438532480152546,0.06584158415841584,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.906726326060939,7.611347717403621,4.897839799950911,5.5093883366279774,3.242592351485517,0
Demystifying Data Science | Mr.Asitang Mishra | TEDxOakLawn,iJUzouXg5kY,2019-07-23,data science,7742,787,271415,34.3,343,10,2.0,10,0,0,2019,7,1,0,1128,59,7,0,0,0,0,0.22448979591836735,0,28.52458412394304,2.8996186651437834,0.10165331955567036,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.511407978219273,8.954544488386723,6.669498089857879,5.840641657373398,3.563882963939251,0
How to get a data science job,71RVNeseKZw,2021-01-24,data science,30536,742,1332052,32.4,324,10,1.6,8,2,0,2021,1,6,1,577,29,7,0,0,0,0,0.043478260869565216,0,22.924029992823105,0.5570353109338073,0.024299187843856433,0.8,0.2,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.102231919080669,10.32669434212045,6.610696044717759,5.783825182329737,3.5085558999826545,0
Data Scientist Reveals the Best Way to Become Rich,oMn8zc5NlL4,2022-06-01,data science,4267,70,138290,249.7,2497,10,1.2,4,2,4,2022,6,2,0,84,50,9,0,0,0,0,0.16666666666666666,0,30.855448694771855,0.5061826596283173,0.016404968361846732,0.4,0.2,0.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.837115439613411,8.358900612421644,4.2626798770413155,7.823245690685523,5.524257005164247,0
Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),Vfo5le26IhY,2019-12-20,data science,1760,170,35373,29.4,294,10,1.9,9,0,1,2019,12,4,0,978,97,12,0,0,0,0,0.12987012987012986,0,49.755463206400364,4.8059254233454896,0.09659090909090909,0.9,0.0,0.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.473732365994739,7.473637108496206,5.14166355650266,5.68697535633982,3.414442608412176,0
Skills Needed to Become a Data Scientist,q2Ruz1dHnow,2020-05-07,data science,5407,54,309718,9.1,91,10,1.8,8,0,2,2020,5,3,0,839,40,7,0,0,0,0,0.14705882352941177,0,17.45781646530069,0.17435215260333595,0.009987053819123359,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.64342071377273,8.5956346177228,4.007333185232471,4.5217885770490405,2.312535423847214,0
